index,Starting Capacity,Vaccination Session Site,Delay Session Site,Vaccination PHC,Delay PHC,Demand Real Session Site,Demand Served Session Site,Demand Unserved Session Site,Demand Real PHC,Demand Served PHC,Demand Unserved PHC
278,0.0,301.0,23.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
279,0.0,301.0,22.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
280,44.0,301.0,21.0,280.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
281,43.0,301.0,20.0,281.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
282,42.0,301.0,19.0,282.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
283,41.0,301.0,18.0,283.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
284,40.0,301.0,17.0,284.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
285,39.0,301.0,16.0,285.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
286,38.0,301.0,15.0,286.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
287,37.0,301.0,14.0,287.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
288,36.0,301.0,13.0,288.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
289,35.0,301.0,12.0,289.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
290,34.0,301.0,11.0,290.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
291,33.0,301.0,10.0,291.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
292,32.0,301.0,9.0,292.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
