Latitude,Longitude,Births
17.5620836,77.8620822,4.11893129
17.5620836,77.8704156,4.29055357
17.5620836,77.8787489,4.03312063
17.5620836,77.88708220000001,4.29055357
17.5620836,77.89541559999999,4.03312063
17.5620836,77.90374890000001,4.29055357
17.5620836,77.9120822,4.29055357
17.5620836,77.9204156,3.81859231
17.5620836,77.9287489,4.01358938
17.5620836,77.94541559999999,4.05501986
17.553750199999996,77.7537489,4.01358938
17.553750199999996,77.76208220000001,4.29055357
17.553750199999996,77.77041559999999,4.28719568
17.553750199999996,77.77874890000001,4.28887463
17.553750199999996,77.7870822,4.28719568
17.553750199999996,77.7954156,3.64697075
17.553750199999996,77.8037489,4.29055357
17.553750199999996,77.8120822,3.68987679
17.553750199999996,77.82041559999999,4.29055357
17.553750199999996,77.82874890000001,4.29055357
17.553750199999996,77.8370822,4.29055357
17.553750199999996,77.8454156,4.29055357
17.553750199999996,77.8537489,4.29055357
17.553750199999996,77.8620822,4.29055357
17.553750199999996,77.8704156,4.29055357
17.553750199999996,77.8787489,4.29055357
17.553750199999996,77.88708220000001,4.29055357
17.553750199999996,77.89541559999999,4.29055357
17.553750199999996,77.90374890000001,4.29055357
17.553750199999996,77.9120822,4.29055357
17.553750199999996,77.9204156,4.29055357
17.553750199999996,77.9287489,4.24019575
17.553750199999996,77.9370822,3.7813971
17.553750199999996,77.94541559999999,3.65834403
17.5454169,77.7204156,3.58116126
17.5454169,77.7287489,3.65834403
17.5454169,77.7370822,3.84970117
17.5454169,77.76208220000001,4.27544641
17.5454169,77.77041559999999,4.28887463
17.5454169,77.77874890000001,4.29055357
17.5454169,77.7870822,4.29055357
17.5454169,77.7954156,4.29055357
17.5454169,77.8037489,4.29055357
17.5454169,77.8120822,4.28551722
17.5454169,77.82041559999999,4.29055357
17.5454169,77.82874890000001,4.29055357
17.5454169,77.8370822,4.29055357
17.5454169,77.8454156,4.29055357
17.5454169,77.8537489,4.29055357
17.5454169,77.8620822,4.29055357
17.5454169,77.8704156,4.29055357
17.5454169,77.8787489,4.29055357
17.5454169,77.88708220000001,4.29055357
17.5454169,77.89541559999999,4.29055357
17.5454169,77.90374890000001,4.29055357
17.5454169,77.9120822,4.29055357
17.5454169,77.9204156,4.29055357
17.5454169,77.9287489,4.2670536
17.5454169,77.9370822,3.87133431
17.5454169,77.94541559999999,3.65834403
17.537083600000003,77.7204156,3.56889367
17.537083600000003,77.7287489,4.1713748
17.537083600000003,77.7370822,4.28719568
17.537083600000003,77.7454156,4.29055357
17.537083600000003,77.76208220000001,4.28887463
17.537083600000003,77.77041559999999,3.3895371
17.537083600000003,77.77874890000001,4.20474195
17.537083600000003,77.7870822,4.29055357
17.537083600000003,77.7954156,4.29055357
17.537083600000003,77.8037489,3.73278141
17.537083600000003,77.8120822,4.29055357
17.537083600000003,77.82041559999999,4.27376747
17.537083600000003,77.82874890000001,4.24764776
17.537083600000003,77.8370822,4.11893129
17.537083600000003,77.8454156,4.29055357
17.537083600000003,77.8537489,4.29055357
17.537083600000003,77.8620822,4.29055357
17.537083600000003,77.8704156,4.29055357
17.537083600000003,77.8787489,4.29055357
17.537083600000003,77.88708220000001,4.29055357
17.537083600000003,77.89541559999999,4.29055357
17.537083600000003,77.90374890000001,4.24764776
17.537083600000003,77.9120822,4.29055357
17.537083600000003,77.9204156,4.29055357
17.537083600000003,77.9287489,4.28383923
17.537083600000003,77.9370822,3.48334932
17.537083600000003,77.94541559999999,3.76125503
17.528750199999998,77.7204156,4.28383923
17.528750199999998,77.7287489,4.29055357
17.528750199999998,77.7370822,4.1618371
17.528750199999998,77.7454156,4.29055357
17.528750199999998,77.7537489,4.29055357
17.528750199999998,77.76208220000001,4.28887463
17.528750199999998,77.77041559999999,4.28216076
17.528750199999998,77.77874890000001,4.25866079
17.528750199999998,77.7870822,4.28551722
17.528750199999998,77.7954156,4.29055357
17.528750199999998,77.8037489,4.29055357
17.528750199999998,77.8120822,4.29055357
17.528750199999998,77.82041559999999,4.29055357
17.528750199999998,77.82874890000001,4.29055357
17.528750199999998,77.8370822,4.29055357
17.528750199999998,77.8454156,4.11893129
17.528750199999998,77.8537489,4.29055357
17.528750199999998,77.8620822,4.28719568
17.528750199999998,77.8704156,4.29055357
17.528750199999998,77.88708220000001,4.29055357
