,starting_capacity,choice_delay_phc,choice_delay_ss,demand_served_phc,demand_served_ss,demand_fulfilled_dates_phc,demand_fulfilled_dates_ss,bad_experience_phc,bad_experience_ss
230,7,42,-1,0,0,272,0,0,0
231,7,35,-1,0,0,266,0,0,0
232,7,-1,4,0,0,0,245,0,0
233,7,-1,27,2,0,0,273,0,0
234,5,-1,0,0,0,0,245,0,0
235,5,-1,111,1,0,0,357,0,0
236,4,-1,4,1,0,0,245,0,0
237,3,-1,0,0,0,0,245,0,0
238,3,-1,25,1,0,0,273,0,0
239,2,11,-1,0,0,250,0,0,0
240,50,-1,4,0,0,0,245,0,0
241,50,-1,32,0,0,0,273,0,0
242,50,-1,1,0,0,0,245,0,0
243,50,-1,0,0,0,0,245,0,0
244,50,3,-1,0,0,247,0,0,0
245,50,-1,-1,0,9,0,0,0,0
246,41,1,-1,0,0,247,0,0,0
247,41,2,-1,2,0,249,0,0,0
248,39,0,-1,1,0,248,0,0,0
249,38,17,-1,1,0,266,0,0,0
250,37,-1,2,2,0,0,273,0,0
251,35,1,-1,0,0,252,0,0,0
252,35,16,-1,1,0,268,0,0,0
253,34,44,-1,0,0,297,0,0,0
254,34,-1,-1,1,0,0,0,0,0
255,33,7,-1,0,0,262,0,0,0
256,33,3,-1,0,0,259,0,0,0
257,33,15,-1,0,0,272,0,0,0
258,33,-1,217,0,0,0,497,0,0
259,33,0,-1,2,0,259,0,0,0
260,31,-1,86,0,0,0,357,0,0
261,31,-1,20,0,0,0,301,0,0
262,31,-1,0,2,0,0,273,0,0
263,29,-1,-1,0,0,0,0,0,0
264,29,1,-1,0,0,265,0,0,0
265,29,-1,25,1,0,0,301,0,0
266,28,-1,9,2,0,0,301,0,0
267,26,-1,12,1,0,0,301,0,0
268,25,-1,2,1,0,0,273,0,0
269,24,-1,0,1,0,0,273,0,0
270,23,-1,1,0,0,0,273,0,0
271,23,-1,1,0,0,0,273,0,0
272,23,10,-1,2,0,282,0,0,0
273,21,-1,36,0,11,0,329,0,0
274,10,2,-1,0,0,276,0,0,0
275,10,33,-1,1,0,308,0,0,0
276,9,352,-1,2,0,628,0,0,0
277,7,165,-1,0,0,442,0,0,0
278,7,1,-1,0,0,279,0,0,0
279,7,-1,37,1,0,0,329,0,0
280,50,12,-1,0,0,292,0,0,0
281,50,9,-1,0,0,290,0,0,0
282,50,-1,-1,2,0,0,0,0,0
283,48,-1,-1,1,0,0,0,0,0
284,47,0,-1,1,0,284,0,0,0
285,46,-1,11,0,0,0,301,0,0
286,46,6,-1,0,0,292,0,0,0
287,46,-1,-1,0,0,0,0,0,0
288,46,-1,36,0,0,0,329,0,0
289,46,9,-1,1,0,298,0,0,0
290,45,3,-1,1,0,293,0,0,0
291,44,5,-1,0,0,296,0,0,0
292,44,18,-1,2,0,310,0,0,0
293,42,-1,3,1,0,0,301,0,0
294,41,3,-1,0,0,297,0,0,0
295,41,-1,1,0,0,0,301,0,0
296,41,10,-1,1,0,306,0,0,0
297,40,0,-1,3,0,297,0,0,0
298,37,-1,0,1,0,0,301,0,0
299,36,-1,0,0,0,0,301,0,0
300,36,-1,0,0,0,0,301,0,0
301,36,28,-1,0,11,329,0,0,0
302,25,26,-1,0,0,328,0,0,0
303,25,0,-1,1,0,303,0,0,0
304,24,29,-1,0,0,333,0,0,0
