scenario_name,ss_mode,ss_replenishment_source,replenishmentdisruption,ccedisruption,phc,ss,overall
ccedisruption,periodic,phc,0,1,0.309352518,0.285714286,0.295950156
ccedisruption,periodic,phc,0,1,0.210084034,0.303867403,0.266666667
ccedisruption,periodic,phc,0,1,0.176470588,0.222222222,0.199346405
ccedisruption,periodic,phc,0,1,0.258064516,0.272189349,0.266211604
ccedisruption,periodic,phc,0,1,0.260869565,0.231707317,0.245033113
ccedisruption,periodic,phc,0,1,0.256880734,0.365482234,0.326797386
ccedisruption,periodic,phc,0,1,0.19858156,0.175,0.186046512
ccedisruption,periodic,phc,0,1,0.280991736,0.191256831,0.226973684
ccedisruption,periodic,phc,0,1,0.305970149,0.286549708,0.295081967
ccedisruption,periodic,phc,0,1,0.3125,0.287234043,0.296666667
ccedisruption,periodic,phc,0,1,0.238095238,0.236686391,0.237341772
ccedisruption,periodic,phc,0,1,0.208633094,0.286486486,0.25308642
ccedisruption,periodic,phc,0,1,0.246268657,0.165745856,0.2
ccedisruption,periodic,phc,0,1,0.25,0.232954545,0.240384615
ccedisruption,periodic,phc,0,1,0.282608696,0.198830409,0.236245955
ccedisruption,periodic,phc,0,1,0.323076923,0.255952381,0.285234899
ccedisruption,periodic,phc,0,1,0.255639098,0.284090909,0.27184466
ccedisruption,periodic,phc,0,1,0.233576642,0.235294118,0.234527687
ccedisruption,periodic,phc,0,1,0.255319149,0.210843373,0.231270358
ccedisruption,periodic,phc,0,1,0.232876712,0.193939394,0.21221865
ccedisruption,periodic,phc,0,1,0.23943662,0.25308642,0.246710526
ccedisruption,periodic,phc,0,1,0.262068966,0.243589744,0.252491694
ccedisruption,periodic,phc,0,1,0.201612903,0.227777778,0.217105263
ccedisruption,periodic,phc,0,1,0.296296296,0.308108108,0.303125
ccedisruption,periodic,phc,0,1,0.202797203,0.231213873,0.21835443
ccedisruption,periodic,phc,0,1,0.184615385,0.20855615,0.19873817
ccedisruption,periodic,phc,0,1,0.229007634,0.288343558,0.261904762
ccedisruption,periodic,phc,0,1,0.328467153,0.313953488,0.32038835
ccedisruption,periodic,phc,0,1,0.299270073,0.233333333,0.261829653
ccedisruption,periodic,phc,0,1,0.25984252,0.226190476,0.240677966
ccedisruption,periodic,phc,0,1,0.235772358,0.23655914,0.236245955
ccedisruption,periodic,phc,0,1,0.235294118,0.278409091,0.259615385
ccedisruption,periodic,phc,0,1,0.28358209,0.214689266,0.24437299
ccedisruption,periodic,phc,0,1,0.255474453,0.186746988,0.217821782
ccedisruption,periodic,phc,0,1,0.212598425,0.282051282,0.254658385
ccedisruption,periodic,phc,0,1,0.267175573,0.267379679,0.267295597
ccedisruption,periodic,phc,0,1,0.194444444,0.232142857,0.21474359
ccedisruption,periodic,phc,0,1,0.244755245,0.272727273,0.25974026
ccedisruption,periodic,phc,0,1,0.318181818,0.25443787,0.279569892
ccedisruption,periodic,phc,0,1,0.15625,0.241935484,0.207006369
ccedisruption,periodic,phc,0,1,0.307692308,0.248587571,0.273615635
ccedisruption,periodic,phc,0,1,0.19205298,0.269230769,0.231270358
ccedisruption,periodic,phc,0,1,0.201612903,0.172972973,0.184466019
