Birth Latitude,Birth Longitude,Births,Location ID,key,PHC_ID,Primary Health Centre Name,Primary Health Centre Location,Mandal,PHC Latitude,PHC Longitude,PHC Full Name,Distance
17.5954169,77.77041559999998,4.05891085,48,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",3.2845191888725505
17.5954169,77.77874890000002,4.29055357,49,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",2.5854543727529244
17.5954169,77.7870822,4.28719568,50,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",2.0350790796579217
17.5954169,77.7954156,4.29055357,51,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",1.7773523904120063
17.5954169,77.8037489,4.29055357,52,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",1.9331067933761183
17.5954169,77.8120822,4.29055357,53,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",2.4238990842266332
17.5954169,77.82041559999998,4.29055357,54,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",3.0942187952081883
17.5954169,77.82874890000002,4.20474195,55,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",3.8514312457648305
17.5954169,77.8370822,4.29055357,56,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",4.65331278216245
17.5954169,77.8454156,4.29055357,57,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",5.480300310140121
17.5954169,77.8537489,4.29055357,58,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",6.322534018842885
17.5954169,77.8620822,4.29055357,59,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",7.174653010464361
17.5870836,77.77874890000002,4.29055357,60,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",2.063091088111047
17.5870836,77.7870822,4.29055357,61,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",1.3088927155622756
17.5870836,77.7954156,3.43244243,62,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",0.8547452836093707
17.5870836,77.8037489,4.29055357,63,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",1.143912802277746
17.5870836,77.8120822,4.29055357,64,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",1.8566151952779764
17.5870836,77.82041559999998,4.29055357,65,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",2.6732178549197183
17.5870836,77.82874890000002,4.29055357,66,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",3.52216820504652
