AWC Latitude,AWC Longitude,AWC Name,AWC_ID,key,PHC_ID,Primary Health Centre Name,Primary Health Centre Location,Mandal,PHC Latitude,PHC Longitude,PHC Full Name,Distance
17.0598,77.5488,ANGADIRAICHUR-II,1409071,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",3.2089595872420253
17.0919,77.539,ANGADIRAICHUR-III,1409072,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",0.6788441416236755
17.0598,77.5488,ANGADIRAICHUR-IV,1409073,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",3.2089595872420253
17.0582,77.4951,DHARMAPUR,1409074,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",5.405538226442271
17.1592,77.7369,BOMRASPET -1,1409075,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",0.33861500902026115
17.168,77.7404,BOMRASPET -1I,1409076,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",0.8296223341015516
17.1708,77.7416,BOMRASPET -1II,1409077,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",1.1549453969180743
17.1652,77.7393,BOMRASPET -1V,1409078,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",0.5175914348525733
17.1669,77.7381,GAJULAKUNTA TANDA,1409079,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",0.7258790993278601
17.1507,77.7459,METLAKUNTA - I,1409080,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",1.2768604083101711
17.1579,77.785,METLAKUNTA - II,1409081,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",4.816838011124234
17.1507,77.7459,LUTKUNTA TANDA,1409082,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",1.2768604083101711
17.1792,77.7771,MAISHAMMAGADDA TANDA,1409083,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",4.476590313085166
17.1507,77.7459,BHUJANNAGADDA (T),1409084,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",1.2768604083101711
17.1507,77.7459,BURRAI TANADA,1409085,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",1.2768604083101711
17.1579,77.785,DEPPLANAIK TANDA,1409086,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",4.816838011124234
17.1792,77.7771,Gubbadi Thanda,1409087,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",4.476590313085166
17.1767,77.7815,Buranpur - 1,1409088,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",4.784737950039465
17.1897281,77.7618374,Buranpur - 2,1409089,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",4.002770189543071
17.1235,77.6688,SURIYA NAIK TANDA,1409090,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",5.004562171521384
17.1863,77.7491,Thettakunta Thanda,1409091,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",3.0291346573490094
17.2086,77.7629,NARSIYA NAIK TANDA,1409092,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",5.880250754528825
17.1546,77.7294,GIDDIGANI TANDA,1409093,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",1.2841085737407123
17.2193343,77.7711345,MADANPALLY ,1409094,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",7.336204240099865
17.2109,77.7646,MADANPALLY TANDA,1409095,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",6.188343540591964
17.1668,77.7381,SALIMDAPUR,1409096,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",0.7150933810116513
17.1624,77.756,Malakunta Thanda,1409097,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",1.7385891494303494
17.1685,77.7664,TEKULAGADDATANDA,1409098,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",2.9657573013479057
17.1392,77.6974,MAHANTIPUR,1409099,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",5.088261037235387
17.1104656,77.62171540000001,JANAKAMPALLY,1409100,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",0.2631334155965186
17.1458,77.7284,DUPCHERLLA,1409101,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",2.037028358381103
17.1194,77.7375,NAMDARPUR-I,1409102,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",4.583572930304999
17.1194,77.7376,NAMDARPUR-II,1409103,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",4.583031231754617
17.1018,77.6507,MEDUHITTU TANDA,1409104,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",2.965285307505482
17.1007,77.7399,BORABANDA TANDA,1409105,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",6.656703621948482
17.1503,77.7333,TUNKIMETLA-I,1409106,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",1.331284026336321
17.1482,77.7328,TUNKIMETLA-II,1409107,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",1.560619940183633
17.1406083,77.7063964,BUTLONI TANDA,1409108,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",4.181188875380039
17.0551,77.6792,DUDUIYAL-I,1409109,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",8.432823550977487
17.0551,77.6792,DUDUIYAL-II,1409110,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",8.432823550977487
17.0551,77.6792,DUDUIYAL-III,1409111,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",8.432823550977487
17.0269,77.6799,DUDUIYAL-IV,1409112,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",10.946436742681538
17.0248,77.6824,DUDUIYAL-V,1409113,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",11.287217069702576
17.0248,77.6824,DUDUIYAL-VI,1409114,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",11.287217069702576
17.0248,77.6824,ALIKHANPALLY,1409115,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",11.287217069702576
17.0944,77.7439,ERRUPUMALLA -I,1409120,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",7.370423505310075
17.1151,77.7587,ERRUPUMALLA -II,1409121,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",5.441764293679951
17.1272,77.7646,KAKARLAGANDI TANDA,1409122,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",4.5537467138793915
17.1456,77.7239,CHOWDERPALLY-I,1409123,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",2.367415859041639
17.1417,77.7094,CHOWDERPALLY-II,1409124,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",3.846850554196353
17.0944,77.744,BAPALLYTANDA,1409125,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",7.371067097231936
17.1034,77.7612,PALABAI TANDA,1409126,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",6.752795708766017
17.1168,77.7601,SHEETA NAIK TANDA,1409127,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",5.325264982523313
17.0641,77.7375,ERLAPALLY-1,1409128,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",10.729081041399354
17.0641,77.7375,YELLAGADDA TANDA,1409129,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",10.729081041399354
17.0757,77.7375,SATTURKUNTA TANDA,1409130,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",9.43958351734725
17.0545,77.7339,Nanya Nayak Thanda,1409131,1,14,Primary Health Centre,Doma,Dome,17.090412,77.83654399999999,"Primary Health Centre, Doma, Dome",11.618345617920035
17.0916,77.7279,GOUWRARAM-1,1409132,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",7.771240891335011
17.0915,77.72800000000001,GOUWRARAM-1I,1409133,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",7.780501478480302
17.0939,77.7115,SAGARAM TANDA,1409134,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",7.997551153224889
17.051,77.7241,LAGACHERLLA-I,1409135,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",12.296064112402643
17.0532,77.7307,LAGACHERLLA-II,1409136,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",11.977114356460229
17.0577,77.7339,LAGACHERLLA TANDA,1409137,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",11.454943906134954
17.1213,77.6669,REGADIMAILARAM-1,1409138,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",4.739996677817068
17.124000000000002,77.6669,REGADIMAILARAM-1I,1409139,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",4.831098718312873
17.1177,77.6652,MUDOMAMILA TANDA,1409140,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",4.468923990152858
17.1177,77.6652,B.K. NAIK TANA,1409141,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",4.468923990152858
17.1219,77.6681,BAMACHERU TANDA,1409142,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",4.881025036284299
17.1406,77.7071,NAGAREDDYPALLY,1409143,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",4.118517208682856
17.1517,77.692,KUTHUR-I,1409144,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",5.168079656015757
17.1517,77.6921,KUTHUR-II,1409145,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",5.157650386189145
17.1397,77.6985,RAMNAIK TANDA,1409146,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",4.958945725515649
17.1489,77.7406,KATTUKALVA TANDA,1409147,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",1.3002363845879885
17.1651,77.6815,LINGA NAIK TANDA,1409148,1,23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet",6.209083562681315
17.1788,77.6012,VADCHERLLA-1,1409149,1,19,Primary Health Centre,Yalal,Yalal,17.213232100000003,77.6435705,"Primary Health Centre, Yalal, Yalal",5.9089573277022325
17.1788,77.6012,VADCHERLLA-1I,1409150,1,19,Primary Health Centre,Yalal,Yalal,17.213232100000003,77.6435705,"Primary Health Centre, Yalal, Yalal",5.9089573277022325
17.1701,77.6154,URUVENKI TANDA,1409151,1,19,Primary Health Centre,Yalal,Yalal,17.213232100000003,77.6435705,"Primary Health Centre, Yalal, Yalal",5.653064461040643
