,choice_delay_ss,choice_delay_phc,total_delay_ss,total_delay_phc
636,-1,-1,0,0
637,2,-1,665,0
638,-1,-1,0,0
639,-1,2,0,641
640,4,-1,665,0
641,-1,3,0,644
642,-1,-1,0,0
643,-1,-1,0,0
644,-1,0,0,644
645,-1,0,0,645
646,-1,0,0,646
647,-1,10,0,657
648,22,-1,693,0
649,-1,-1,0,0
650,-1,13,0,663
651,-1,0,0,651
652,34,-1,693,0
653,0,-1,665,0
654,2,-1,665,0
655,8,-1,665,0
656,-1,46,0,702
657,25,-1,693,0
658,-1,3,0,661
659,0,-1,665,0
660,3,-1,665,0
661,-1,0,0,661
662,0,-1,665,0
663,-1,-1,0,0
664,10,-1,693,0
665,-1,22,0,687
666,-1,-1,0,0
667,2,-1,693,0
668,-1,-1,0,0
669,3,-1,693,0
670,0,-1,693,0
671,48,-1,721,0
672,-1,11,0,683
673,-1,4,0,677
674,-1,7,0,681
675,-1,0,0,675
676,-1,14,0,690
677,-1,-1,0,0
678,-1,-1,0,0
679,-1,-1,0,0
680,0,-1,693,0
681,2,-1,693,0
682,-1,2,0,684
683,-1,1,0,684
684,-1,3,0,687
685,0,-1,693,0
686,0,-1,693,0
687,-1,-1,0,0
688,-1,0,0,688
689,3,-1,693,0
690,0,-1,693,0
691,1,-1,693,0
692,0,-1,693,0
693,-1,1,0,694
694,-1,-1,0,0
695,-1,-1,0,0
696,-1,11,0,707
697,-1,4,0,701
698,-1,7,0,705
699,-1,-1,0,0
700,-1,-1,0,0
701,12,-1,721,0
702,-1,-1,0,0
703,-1,9,0,712
704,-1,10,0,714
705,1,-1,721,0
706,0,-1,721,0
707,-1,-1,0,0
708,0,-1,721,0
709,2,-1,721,0
710,-1,8,0,718
711,10,-1,721,0
712,8,-1,721,0
713,-1,-1,0,0
714,-1,-1,0,0
715,1,-1,721,0
716,0,-1,721,0
717,1,-1,721,0
718,0,-1,721,0
719,-1,1,0,720
720,7,-1,0,0
721,-1,6,0,727
722,-1,-1,0,0
723,-1,4,0,727
724,-1,1,0,725
725,-1,-1,0,0
726,-1,1,0,727
727,-1,-1,0,0
728,-1,-1,0,0
729,-1,-1,0,0
