scenario_name,ss_mode,ss_replenishment_source,phc_replenishment_disrupt,annual_cce_disruptions,phc,ss,overall
baseline,periodic,phc,0,0,0.4952681388012618,0.5047318611987381,0.8684931506849315
baseline,periodic,phc,0,0,0.44375,0.55625,0.8767123287671232
baseline,periodic,phc,0,0,0.42443729903536975,0.5755627009646302,0.852054794520548
baseline,periodic,phc,0,0,0.46153846153846156,0.5384615384615384,0.8547945205479452
baseline,periodic,phc,0,0,0.4125874125874126,0.5874125874125874,0.7835616438356164
baseline,periodic,phc,0,0,0.4696485623003195,0.5303514376996805,0.8575342465753425
baseline,periodic,phc,0,0,0.4215686274509804,0.5784313725490197,0.8383561643835616
baseline,periodic,phc,0,0,0.39490445859872614,0.6050955414012739,0.8602739726027397
baseline,periodic,phc,0,0,0.3987138263665595,0.6012861736334405,0.852054794520548
baseline,periodic,phc,0,0,0.42295081967213116,0.5770491803278689,0.8356164383561644
baseline,periodic,phc,0,0,0.42671009771986973,0.5732899022801303,0.8410958904109589
baseline,periodic,phc,0,0,0.47096774193548385,0.5290322580645161,0.8493150684931506
baseline,periodic,phc,0,0,0.42948717948717946,0.5705128205128205,0.8547945205479452
baseline,periodic,phc,0,0,0.4738562091503268,0.5261437908496732,0.8383561643835616
baseline,periodic,phc,0,0,0.45098039215686275,0.5490196078431373,0.8383561643835616
baseline,periodic,phc,0,0,0.44224422442244227,0.5577557755775577,0.8301369863013699
baseline,periodic,phc,0,0,0.4353312302839117,0.5646687697160884,0.8684931506849315
baseline,periodic,phc,0,0,0.4198717948717949,0.5801282051282052,0.8547945205479452
baseline,periodic,phc,0,0,0.4602649006622517,0.5397350993377483,0.8273972602739726
baseline,periodic,phc,0,0,0.42394822006472493,0.5760517799352751,0.8465753424657534
baseline,periodic,phc,0,0,0.4854368932038835,0.5145631067961165,0.8465753424657534
baseline,periodic,phc,0,0,0.4651898734177215,0.5348101265822784,0.8657534246575342
baseline,periodic,phc,0,0,0.4318181818181818,0.5681818181818182,0.8438356164383561
baseline,periodic,phc,0,0,0.43870967741935485,0.5612903225806452,0.8493150684931506
baseline,periodic,phc,0,0,0.43478260869565216,0.5652173913043478,0.8821917808219178
baseline,periodic,phc,0,0,0.47619047619047616,0.5238095238095238,0.863013698630137
baseline,periodic,phc,0,0,0.4192546583850932,0.5807453416149069,0.8821917808219178
baseline,periodic,phc,0,0,0.4019933554817276,0.5980066445182725,0.8246575342465754
baseline,periodic,phc,0,0,0.41721854304635764,0.5827814569536424,0.8273972602739726
baseline,periodic,phc,0,0,0.48,0.52,0.8904109589041096
baseline,periodic,phc,0,0,0.43934426229508194,0.5606557377049181,0.8356164383561644
baseline,periodic,phc,0,0,0.4219269102990033,0.5780730897009967,0.8246575342465754
baseline,periodic,phc,0,0,0.44805194805194803,0.551948051948052,0.8438356164383561
baseline,periodic,phc,0,0,0.4554140127388535,0.5445859872611465,0.8602739726027397
baseline,periodic,phc,0,0,0.49019607843137253,0.5098039215686274,0.8383561643835616
baseline,periodic,dvs,0,0,0.4139072847682119,0.5860927152317881,0.8273972602739726
baseline,periodic,dvs,0,0,0.47058823529411764,0.5294117647058824,0.8383561643835616
baseline,periodic,dvs,0,0,0.4634920634920635,0.5365079365079365,0.863013698630137
baseline,periodic,dvs,0,0,0.4583333333333333,0.5416666666666666,0.8547945205479452
baseline,periodic,dvs,0,0,0.4195583596214511,0.580441640378549,0.8684931506849315
baseline,periodic,dvs,0,0,0.40809968847352024,0.5919003115264797,0.8794520547945206
baseline,periodic,dvs,0,0,0.38311688311688313,0.6168831168831169,0.8438356164383561
baseline,periodic,dvs,0,0,0.43478260869565216,0.5652173913043478,0.8191780821917808
baseline,periodic,dvs,0,0,0.4745222929936306,0.5254777070063694,0.8602739726027397
baseline,periodic,dvs,0,0,0.41368078175895767,0.5863192182410424,0.8410958904109589
baseline,periodic,dvs,0,0,0.4892966360856269,0.5107033639143731,0.8958904109589041
baseline,periodic,dvs,0,0,0.3793103448275862,0.6206896551724138,0.873972602739726
