Availability,delta_b_0.2,delta_b_0.4,delta_b_0.6,delta_b_0.8,delta_b_1
56,0.6652798599442594,0.7360120335248368,0.806648623087062,0.8781127690187043,0.947702965116864
57,0.6658131181519081,0.7371766493273904,0.8082031210697361,0.880130094879715,0.9501629959049794
58,0.6663337995150369,0.7382180120536478,0.8097173731499462,0.8819663141796376,0.9526154805863828
59,0.6667236816951574,0.739080783587721,0.8109549346507159,0.8838075642173682,0.95496986588053
60,0.6672141786314381,0.7401070541005544,0.8125270402157181,0.8856563603618106,0.9573821046594694
61,0.6676795218786787,0.7411031401865398,0.8140337461892161,0.8876082866313173,0.9598899274567608
62,0.6681423497570154,0.7420413727877331,0.8153367072814899,0.8893036452726156,0.962244312750908
63,0.6685121089859039,0.7428488062059182,0.8166145146847237,0.8908128666150178,0.9641736007002787
64,0.6689749368642405,0.7436235398283513,0.8178948374568614,0.8925862016923402,0.9663217257442976
65,0.669377395888881,0.7444385193532483,0.819056937890511,0.8943016832848706,0.9681805833643562
66,0.6697270321665375,0.7452585296159535,0.8203070762358008,0.8959266115968568,0.9702607934479671
67,0.670059060861866,0.7459251023755143,0.8212754932638421,0.8971163810884505,0.9720492207387136
68,0.6703508436547304,0.7466570747265794,0.8223319482035235,0.8986457253820845,0.9739080783587721
69,0.6707206028836189,0.7473915624465484,0.8234311644145731,0.9000040245902464,0.9756562597470545
70,0.6710652084234674,0.7481185040598054,0.8243945507048064,0.9013824467496403,0.9773390415438328
71,0.6713771141675638,0.7486920081699182,0.8253478755194237,0.902672830997394,0.9789765467003391
72,0.6717267504452203,0.7493887653563271,0.8262785620139049,0.9039984304098039,0.9806794514483494
73,0.6720059563935646,0.7499019006127439,0.827101087645514,0.9051630462123575,0.9820075662296632
74,0.672257493283965,0.7504678586161446,0.8279990743442434,0.906237108734367,0.9835394258922013
75,0.6725392146012135,0.7510187244061214,0.8289624606344766,0.9072759560917204,0.9850486472346034
76,0.6727781746470938,0.7515117367113061,0.8297296481501977,0.9082443731197617,0.986243447464005
77,0.6730674420710542,0.7520751793458028,0.830667880751391,0.9094265965046434,0.9875464085562788
78,0.6733089174858384,0.7526864139894757,0.8315960518769683,0.9104755053376128,0.9890254454718329
79,0.6735252392115828,0.7531266035476764,0.8322902936944733,0.9113030617070299,0.9901900612743865
80,0.673698799665959,0.7534888166698528,0.832881405386914,0.9121457102898711,0.9910452867017476
81,0.6738773908581432,0.7539038525390134,0.8335027015062029,0.9129858435038083,0.9921118031170452
82,0.6741062894284076,0.7543163730392699,0.8341164515187798,0.9138234613488414,0.9931028584652225
83,0.6743125496785358,0.7546861322681584,0.8347452937447806,0.9145428568553864,0.9941492519292879
84,0.6744936562396241,0.7550584068659509,0.8352282445743493,0.9151716990813873,0.9950950306371933
85,0.6746420630049603,0.7553300667075833,0.835758987413094,0.9157703568805401,0.9958722796285303
86,0.6747904697702966,0.7555816035979837,0.8361765386511586,0.916386622262021,0.9965740675527472
87,0.6749388765356327,0.7559086015555041,0.8365588747245671,0.9170104337502138,0.9972557325257322
88,0.6750696757186408,0.7561626538148085,0.8369462415357837,0.9174355310949904,0.9979273360231011
89,0.6752256285906891,0.7563814909094568,0.8373713388805603,0.9179989737294871,0.9986165471027981
90,0.6752784513376732,0.7565022286168489,0.8376002374508246,0.9182681182022155,0.9989611526426466
91,0.6753513970358893,0.7566657275956091,0.8377763132741047,0.9185272011993278,0.9992881506001671
92,0.6754142812584893,0.7568216804676574,0.837922204670537,0.9188013764098643,0.9996101178198795
93,0.6754922576945135,0.7570027870287457,0.8381561339786093,0.9190830977271126,0.9999496926219199
94,0.6755073499079375,0.7570279407177857,0.8381863184054573,0.9191711356387527,1.0
95,0.6755073499079375,0.7570279407177857,0.8381863184054573,0.9191711356387527,1.0
96,0.6755073499079375,0.7570279407177857,0.8381863184054573,0.9191711356387527,1.0
97,0.6755073499079375,0.7570279407177857,0.8381863184054573,0.9191711356387527,1.0
98,0.6755073499079375,0.7570279407177857,0.8381863184054573,0.9191711356387527,1.0
99,0.6755073499079375,0.7570279407177857,0.8381863184054573,0.9191711356387527,1.0
100,0.6755073499079375,0.7570279407177857,0.8381863184054573,0.9191711356387527,1.0
