scenario_name,ss_mode,ss_replenishment_source,replenishmentdisruption,ccedisruption,phc,ss,overall
ccedisruption,periodic,phc,0,1,0.469453376,0.530546624,0.852054795
ccedisruption,periodic,phc,0,1,0.467105263,0.532894737,0.832876712
ccedisruption,periodic,phc,0,1,0.481727575,0.518272425,0.824657534
ccedisruption,periodic,phc,0,1,0.407894737,0.592105263,0.832876712
ccedisruption,periodic,phc,0,1,0.421875,0.578125,0.876712329
ccedisruption,periodic,phc,0,1,0.452531646,0.547468354,0.865753425
ccedisruption,periodic,phc,0,1,0.410094637,0.589905363,0.868493151
ccedisruption,periodic,phc,0,1,0.445578231,0.554421769,0.805479452
ccedisruption,periodic,phc,0,1,0.443365696,0.556634304,0.846575342
ccedisruption,periodic,phc,0,1,0.432176656,0.567823344,0.868493151
ccedisruption,periodic,phc,0,1,0.430508475,0.569491525,0.808219178
ccedisruption,periodic,phc,0,1,0.398058252,0.601941748,0.846575342
ccedisruption,periodic,phc,0,1,0.435897436,0.564102564,0.854794521
ccedisruption,periodic,phc,0,1,0.430868167,0.569131833,0.852054795
ccedisruption,periodic,phc,0,1,0.452145215,0.547854785,0.830136986
ccedisruption,periodic,phc,0,1,0.394409938,0.605590062,0.882191781
ccedisruption,periodic,phc,0,1,0.411949686,0.588050314,0.871232877
ccedisruption,periodic,phc,0,1,0.461538462,0.538461538,0.854794521
ccedisruption,periodic,phc,0,1,0.464285714,0.535714286,0.843835616
ccedisruption,periodic,phc,0,1,0.394265233,0.605734767,0.764383562
ccedisruption,periodic,phc,0,1,0.407643312,0.592356688,0.860273973
ccedisruption,periodic,phc,0,1,0.423452769,0.576547231,0.84109589
ccedisruption,periodic,phc,0,1,0.491856678,0.508143322,0.84109589
ccedisruption,periodic,phc,0,1,0.401294498,0.598705502,0.846575342
ccedisruption,periodic,phc,0,1,0.467320261,0.532679739,0.838356164
ccedisruption,periodic,phc,0,1,0.45276873,0.54723127,0.84109589
ccedisruption,periodic,phc,0,1,0.47318612,0.52681388,0.868493151
ccedisruption,periodic,phc,0,1,0.472312704,0.527687296,0.84109589
ccedisruption,periodic,phc,0,1,0.452145215,0.547854785,0.830136986
