Latitude,Longitude,Location Name,Type,Level
16.9886,77.4996,BICHYAL-I,AWC,1
16.9885,77.4996,BICHYAL-II,AWC,1
17.0083,77.5193,Bichal Thanda,AWC,1
17.0253,77.6348,KUDURMALLA,AWC,1
17.0253,77.6348,KUDURMALLA-II,AWC,1
17.0455,77.6003,Sangaipally,AWC,1
17.0343,77.6101,Sangaipally Thanda,AWC,1
17.0206,77.6032,EMDAPUR,AWC,1
16.9728,77.6515,Uragunta ,AWC,1
17.0511,77.6613,Uragunta Thanda,AWC,1
17.0196,77.5953,YAMKI,AWC,1
17.0135,77.585,DASTAIALLY,AWC,1
16.9576,77.5731,SURAIPALLY-1,AWC,1
17.0472671,77.6452004,SURAIPALLY-2,AWC,1
17.0143518,77.6287327,SALEEMPUR,AWC,1
16.9567,77.4813,ANTHWAR-1,AWC,1
16.9649,77.4948,ANTHWAR-2,AWC,1
16.9975,77.5429,Gumdal-I,AWC,1
16.9975,77.5429,Gumdal-II,AWC,1
16.9566,77.5217,GUNDIPALLY,AWC,1
16.9785,77.5331,ALLAPUR,AWC,1
16.9646,77.5194,TIMMIYAPALLY,AWC,1
17.1137,77.6183,Maisammagadda thanda (Mini),AWC,1
17.0425,77.5933,Peddanandhigama (Mini),AWC,1
17.0757,77.7378,Gattameedhi thanda (Mini),AWC,1
17.1535,77.7643,Pulzanaik thanda (Mini),AWC,1
17.0517,77.7303,Valyanaik thanda,AWC,1
17.1748,77.6829,Enimidhi thanda (Mini),AWC,1
16.9386904,77.5298754,Bangla Thanda(Mini),AWC,1
17.0147,77.6253,Immudapur (Mini),AWC,1
17.5155,77.8926,Mominpet - I,AWC,1
17.5192,77.8918,Mominpet - II,AWC,1
17.5227,77.8965,Mominpet - III,AWC,1
17.5234,77.8969,Mominpet - IV,AWC,1
17.5078998,77.8797805,Chandrayanpally,AWC,1
17.564,77.8937,Burgupally,AWC,1
17.522,77.9433,Tekulpally - I,AWC,1
17.522,77.9434,Tekulpally - II,AWC,1
17.4987,77.944,Enkathala - I,AWC,1
17.4970438,77.9397755,Enkathala - II,AWC,1
17.4977,77.9403,Enkathala - III,AWC,1
17.4961,77.9914,Chakrampally,AWC,1
17.4699,77.978,Deverapally,AWC,1
17.5523,77.9101,Rallagudpally,AWC,1
17.5493,77.9087,Mekavanampally,AWC,1
17.4667,78.0034,Cheemaldari,AWC,1
17.4087,77.6838,Rompally II,AWC,1
17.5622,77.8951,Amradikalan,AWC,1
17.5608,77.8712,Amradikurdu,AWC,1
17.5608,77.8712,Kolkunda(New),AWC,1
17.5659,77.8341,Narsapoor,AWC,1
17.4637,77.8894,Velchal - I,AWC,1
17.4895,77.8707,Morangapally - I,AWC,1
17.4895,77.8708,Morangapally - II,AWC,1
17.4713,77.8122,Izrachittempally,AWC,1
17.4827,77.8413,Kyasaram - I,AWC,1
17.4886,77.8562,Syedalipoor,AWC,1
17.5192,77.8918,Mominpet - V,AWC,1
17.5248,77.8435,Siripuram - I,AWC,1
17.5238,77.8451,Siripuram - II,AWC,1
17.5069,77.8408,Enkepally-1,AWC,1
17.4908,77.9024,Govindapoor,AWC,1
17.4728,77.9035,Ramnathgudpally,AWC,1
17.5833,77.7941,Patloor 4,AWC,1
17.5644,77.919,MekavanampallyTanda,AWC,1
17.4827,77.8413,Kyasaram - II,AWC,1
17.5105,77.8873,Durgamchervu - II,AWC,1
17.4951,77.9406,Enkathala - IV,AWC,1
17.4628362,77.8858529,Durgamchervu - I,AWC,1
17.4894,77.8394,Veerlapally,AWC,1
17.5559622,77.8521202,Kolkunda(Old),AWC,1
17.5572,77.8547,Ravulapally,AWC,1
17.5192,77.8918,Kaslabad,AWC,1
